epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2557.45,1.1627,0.87981,1.16091,0.95314,0.88545,0.93431,0.69726,0.79457,0.49016,0.92856,0.00079705,0.00079705,0.00079705
43,2615.17,1.15627,0.84719,1.15285,0.95124,0.87695,0.93181,0.69831,0.7926,0.49947,0.93311,0.0007921,0.0007921,0.0007921
44,2670.76,1.14884,0.84951,1.14665,0.94358,0.89442,0.93853,0.69774,0.78018,0.48804,0.91548,0.00078715,0.00078715,0.00078715
45,2726.67,1.13927,0.84817,1.14864,0.93559,0.88903,0.92976,0.70464,0.77288,0.49222,0.92292,0.0007822,0.0007822,0.0007822
46,2784.64,1.13963,0.85587,1.14181,0.92065,0.8899,0.92723,0.69173,0.77965,0.49804,0.92361,0.00077725,0.00077725,0.00077725
47,2840.05,1.13093,0.83819,1.13969,0.93644,0.8823,0.92437,0.69936,0.75726,0.47972,0.91215,0.0007723,0.0007723,0.0007723
48,2896.66,1.1286,0.83273,1.13636,0.93964,0.88969,0.92844,0.7013,0.76731,0.48493,0.91506,0.00076735,0.00076735,0.00076735
49,2953.83,1.13011,0.82968,1.1396,0.95019,0.88756,0.9317,0.70985,0.75361,0.46078,0.91151,0.0007624,0.0007624,0.0007624
50,3010.61,1.11415,0.82287,1.13146,0.95575,0.89049,0.93086,0.70341,0.77312,0.47686,0.91697,0.00075745,0.00075745,0.00075745
51,3066.91,1.13664,0.84013,1.14522,0.944,0.90365,0.93273,0.70683,0.7705,0.48095,0.91696,0.0007525,0.0007525,0.0007525
52,3121.94,1.12527,0.81908,1.13523,0.94992,0.9006,0.94067,0.71726,0.74956,0.46128,0.90986,0.00074755,0.00074755,0.00074755
53,3178.56,1.1096,0.82081,1.12936,0.94859,0.89059,0.93493,0.70951,0.75762,0.46959,0.91631,0.0007426,0.0007426,0.0007426
54,3234.33,1.11792,0.81732,1.13699,0.94076,0.91075,0.93894,0.71501,0.75434,0.46195,0.91201,0.00073765,0.00073765,0.00073765
55,3290.49,1.12246,0.82851,1.13819,0.94827,0.9009,0.93427,0.71514,0.74899,0.462,0.91563,0.0007327,0.0007327,0.0007327
56,3348.47,1.10426,0.81576,1.13185,0.95107,0.91111,0.94201,0.72074,0.74449,0.44521,0.91085,0.00072775,0.00072775,0.00072775
57,3405.29,1.1127,0.81866,1.12957,0.95607,0.90002,0.94209,0.71523,0.74081,0.45214,0.90404,0.0007228,0.0007228,0.0007228
58,3461.02,1.1095,0.80634,1.12805,0.96234,0.89826,0.93885,0.72214,0.74287,0.44496,0.90616,0.00071785,0.00071785,0.00071785
59,3517.06,1.10859,0.80495,1.13243,0.96168,0.89287,0.93568,0.71355,0.74723,0.45097,0.90976,0.0007129,0.0007129,0.0007129
60,3573.37,1.08936,0.79079,1.12108,0.94973,0.89815,0.93746,0.72023,0.73564,0.44223,0.90681,0.00070795,0.00070795,0.00070795
61,3630.2,1.10613,0.79334,1.11978,0.95412,0.90432,0.94101,0.7246,0.72772,0.4371,0.8961,0.000703,0.000703,0.000703
62,3685.59,1.0991,0.79088,1.11913,0.95924,0.89995,0.94061,0.72174,0.74287,0.44462,0.90631,0.00069805,0.00069805,0.00069805
63,3741.84,1.0934,0.78758,1.11687,0.95223,0.9012,0.94198,0.7256,0.74653,0.43258,0.90452,0.0006931,0.0006931,0.0006931
64,3932.82,1.09478,0.78299,1.11743,0.95123,0.9054,0.94685,0.72796,0.74392,0.43444,0.90225,0.00068815,0.00068815,0.00068815
65,4326.89,1.09643,0.78297,1.1219,0.94532,0.90861,0.94749,0.73261,0.73187,0.43166,0.90478,0.0006832,0.0006832,0.0006832
66,4776.96,1.07101,0.77185,1.10478,0.96194,0.90447,0.95088,0.73573,0.7232,0.42459,0.89879,0.00067825,0.00067825,0.00067825
67,4860.34,1.07755,0.76357,1.10559,0.95803,0.91379,0.94695,0.72828,0.73456,0.42522,0.90361,0.0006733,0.0006733,0.0006733
68,5377.08,1.0812,0.77097,1.11286,0.96702,0.90314,0.95034,0.73409,0.72351,0.42368,0.89833,0.00066835,0.00066835,0.00066835
69,6743.53,1.08641,0.77394,1.10734,0.97761,0.90148,0.95071,0.73273,0.72967,0.42673,0.90287,0.0006634,0.0006634,0.0006634
70,6849.94,1.07357,0.76009,1.10409,0.96879,0.9037,0.94816,0.7295,0.73164,0.42558,0.90016,0.00065845,0.00065845,0.00065845
