epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,15218.3,0.91218,0.5879,1.02609,0.97343,0.9291,0.95827,0.76883,0.66721,0.36263,0.87402,0.00017335,0.00017335,0.00017335
169,15274.1,0.91252,0.5912,1.031,0.97367,0.92784,0.95838,0.76857,0.66689,0.36299,0.87386,0.0001684,0.0001684,0.0001684
170,15330.3,0.91096,0.59368,1.02935,0.97342,0.92871,0.95824,0.76914,0.66661,0.36307,0.87384,0.00016345,0.00016345,0.00016345
171,15386.7,0.9123,0.59477,1.02918,0.97308,0.93445,0.95823,0.76944,0.66639,0.36271,0.87358,0.0001585,0.0001585,0.0001585
172,15442.8,0.91623,0.58923,1.0334,0.97355,0.93446,0.95823,0.76998,0.66601,0.36242,0.87338,0.00015355,0.00015355,0.00015355
173,15500.5,0.90281,0.59434,1.02486,0.97345,0.92936,0.95794,0.76993,0.66581,0.36252,0.87336,0.0001486,0.0001486,0.0001486
174,15557.3,0.90566,0.58647,1.02419,0.97298,0.93224,0.95846,0.77015,0.6657,0.36335,0.87346,0.00014365,0.00014365,0.00014365
175,15627,0.9036,0.58717,1.02413,0.96928,0.93467,0.95844,0.77005,0.6655,0.363,0.87331,0.0001387,0.0001387,0.0001387
176,15701.2,0.9023,0.58458,1.0206,0.96879,0.93471,0.95849,0.77061,0.66526,0.36354,0.87316,0.00013375,0.00013375,0.00013375
177,15774.7,0.90281,0.5821,1.02462,0.96857,0.93427,0.95814,0.77038,0.66531,0.36384,0.8732,0.0001288,0.0001288,0.0001288
178,15847.8,0.89653,0.58913,1.02544,0.96918,0.93442,0.95832,0.77002,0.66521,0.3639,0.8732,0.00012385,0.00012385,0.00012385
179,15920.2,0.89934,0.57991,1.02049,0.96856,0.93474,0.95834,0.77034,0.66545,0.36435,0.87313,0.0001189,0.0001189,0.0001189
180,15991.9,0.89556,0.58983,1.02077,0.96707,0.93475,0.95834,0.77013,0.66521,0.36462,0.87301,0.00011395,0.00011395,0.00011395
181,16063.5,0.89979,0.58224,1.02437,0.97016,0.93423,0.95846,0.77063,0.66461,0.36447,0.87284,0.000109,0.000109,0.000109
182,16123.6,0.89051,0.57848,1.02307,0.97012,0.93422,0.95838,0.77019,0.66438,0.36396,0.87273,0.00010405,0.00010405,0.00010405
183,16179.5,0.88486,0.57241,1.02384,0.96943,0.93423,0.95846,0.76987,0.66458,0.36405,0.87267,9.91e-05,9.91e-05,9.91e-05
184,16235.1,0.88892,0.57423,1.02011,0.96921,0.93397,0.95845,0.77024,0.66433,0.36439,0.87264,9.415e-05,9.415e-05,9.415e-05
185,16291.1,0.88529,0.58116,1.02093,0.97025,0.93373,0.95846,0.7702,0.66392,0.36439,0.87247,8.92e-05,8.92e-05,8.92e-05
186,16348.2,0.87897,0.57049,1.01206,0.96834,0.93263,0.95857,0.77064,0.66378,0.36395,0.87249,8.425e-05,8.425e-05,8.425e-05
187,16404.4,0.86872,0.56791,1.00909,0.96852,0.93302,0.95856,0.77047,0.66334,0.36404,0.87226,7.93e-05,7.93e-05,7.93e-05
188,16461,0.87455,0.5699,1.01301,0.9685,0.93335,0.95867,0.77069,0.66309,0.36364,0.87218,7.435e-05,7.435e-05,7.435e-05
189,16517.3,0.86703,0.56435,1.00853,0.96857,0.93384,0.95869,0.77012,0.66298,0.36344,0.87218,6.94e-05,6.94e-05,6.94e-05
190,16575,0.88062,0.57464,1.01951,0.96861,0.93384,0.95881,0.76995,0.6628,0.36337,0.87233,6.445e-05,6.445e-05,6.445e-05
